,tweet_created_at,id_str,entity_user_mentions,con_id_str_list,con_id_str_list1,con_id_str_list2,full_conversation_ids,airline_contain_con,airline_contain_con_time,airline_reply_time,56377143
0,2019-05-22 12:58:12,1.1311824743804232e+18,"('KLM', '56377143')",['1.1311824743804232e+18'],"['1.1311879787710259e+18', '1.1311880893287342e+18', '1.1311883038211809e+18']",[],"['1.1311824743804232e+18', '1.1311879787710259e+18', '1.1311880893287342e+18', '1.1311883038211809e+18']",['1.1311880893287342e+18'],['2019-05-22 13:20:31'],2019-05-22 13:20:31,22.316666666666666
7,2019-05-22 18:09:59,1.1312609340879912e+18,"('KLM', '56377143')",['1.1312609340879913e+18'],['1.1312618337745428e+18'],[],"['1.1312609340879913e+18', '1.1312618337745428e+18']",['1.1312618337745428e+18'],['2019-05-22 18:13:33'],2019-05-22 18:13:33,3.566666666666667
9,2019-05-22 19:15:47,1.131277493674156e+18,"('KLM', '56377143'),('Schiphol', '8279892')",['1.131277493674156e+18'],['1.1312826816926106e+18'],[],"['1.131277493674156e+18', '1.1312826816926106e+18']",['1.1312826816926106e+18'],['2019-05-22 19:36:24'],2019-05-22 19:36:24,20.616666666666667
11,2019-05-22 19:31:33,1.1312814605713654e+18,"('KLM', '56377143')",['1.1312814605713654e+18'],['1.1312827366338642e+18'],[],"['1.1312814605713654e+18', '1.1312827366338642e+18']",['1.1312827366338642e+18'],['2019-05-22 19:36:37'],2019-05-22 19:36:37,5.066666666666666
12,2019-05-22 19:32:27,1.1312816890518282e+18,"('airfrance', '106062176'),('KLM', '56377143')",['1.1312816890518282e+18'],['1.1312833202669937e+18'],[],"['1.1312816890518282e+18', '1.1312833202669937e+18']",['1.1312833202669937e+18'],['2019-05-22 19:38:56'],2019-05-22 19:38:56,6.483333333333333
13,2019-05-22 19:35:53,1.1312825512245862e+18,"('KLM', '56377143')",['1.1312825512245862e+18'],"['1.1312848674115297e+18', '1.1318708414472888e+18']",[],"['1.1312825512245862e+18', '1.1312848674115297e+18', '1.1318708414472888e+18']",['1.1318708414472888e+18'],['2019-05-24 10:33:32'],2019-05-24 10:33:32,2337.65
15,2019-05-23 02:33:14,1.1313875806063206e+18,"('KLM', '56377143')",['1.1313875806063206e+18'],['1.1313890247347814e+18'],[],"['1.1313875806063206e+18', '1.1313890247347814e+18']",['1.1313890247347814e+18'],['2019-05-23 02:38:58'],2019-05-23 02:38:58,5.733333333333333
19,2019-05-23 06:42:09,1.1314502230820372e+18,"('KLM', '56377143')",['1.1314502230820372e+18'],['1.131452882539221e+18'],[],"['1.1314502230820372e+18', '1.131452882539221e+18']",['1.131452882539221e+18'],['2019-05-23 06:52:43'],2019-05-23 06:52:43,10.566666666666666
22,2019-05-23 09:20:47,1.1314901478942188e+18,"('KLM', '56377143')",['1.1314901478942188e+18'],['1.1314916932645478e+18'],[],"['1.1314901478942188e+18', '1.1314916932645478e+18']",['1.1314916932645478e+18'],['2019-05-23 09:26:56'],2019-05-23 09:26:56,6.15
26,2019-05-23 13:18:34,1.1315499846907904e+18,"('KLM', '56377143'),('PulkovoAirport', '305432773')",['1.1315499846907904e+18'],['1.1315543780018668e+18'],[],"['1.1315499846907904e+18', '1.1315543780018668e+18']",['1.1315543780018668e+18'],['2019-05-23 13:36:01'],2019-05-23 13:36:01,17.45
31,2019-05-24 07:38:31,1.131826795756417e+18,"('KLM', '56377143')",['1.131826795756417e+18'],['1.1318278428939182e+18'],[],"['1.131826795756417e+18', '1.1318278428939182e+18']",['1.1318278428939182e+18'],['2019-05-24 07:42:40'],2019-05-24 07:42:40,4.15
33,2019-05-24 10:40:00,1.1318724680949146e+18,"('KLM', '56377143'),('KLM_UK', '19401532')",['1.1318724680949146e+18'],['1.1318774635864228e+18'],[],"['1.1318724680949146e+18', '1.1318774635864228e+18']",['1.1318774635864228e+18'],['2019-05-24 10:59:51'],2019-05-24 10:59:51,19.85
35,2019-05-24 12:40:26,1.1319027769157672e+18,"('KLM', '56377143')",['1.1319027769157673e+18'],['1.1319054696756388e+18'],[],"['1.1319027769157673e+18', '1.1319054696756388e+18']",['1.1319054696756388e+18'],['2019-05-24 12:51:08'],2019-05-24 12:51:08,10.7
38,2019-05-24 16:05:31,1.1319543887240068e+18,"('KLM', '56377143')",['1.1319543887240069e+18'],['1.1319647377077617e+18'],[],"['1.1319543887240069e+18', '1.1319647377077617e+18']",['1.1319647377077617e+18'],['2019-05-24 16:46:39'],2019-05-24 16:46:39,41.13333333333333
42,2019-05-24 18:40:18,1.1319933419005256e+18,"('KLM', '56377143')",['1.1319933419005256e+18'],['1.1319960414846894e+18'],[],"['1.1319933419005256e+18', '1.1319960414846894e+18']",['1.1319960414846894e+18'],['2019-05-24 18:51:02'],2019-05-24 18:51:02,10.733333333333333
46,2019-05-24 20:55:38,1.1320273967339808e+18,"('KLM', '56377143')",['1.1320273967339807e+18'],"['1.1320290962491679e+18', '1.1320291460188652e+18']",[],"['1.1320273967339807e+18', '1.1320290962491679e+18', '1.1320291460188652e+18']",['1.1320291460188652e+18'],['2019-05-24 21:02:35'],2019-05-24 21:02:35,6.95
